fecha,valor
2009-01-07,1580
2009-01-08,1636
2009-01-09,1639
2009-01-12,1647
2009-01-13,1646
2009-01-14,1640
2009-01-15,1611
2009-01-16,1553
2009-01-20,1539
2009-01-21,1557
2009-01-22,1535
2009-01-23,1514
2009-01-26,1510
2009-01-27,1510
2009-01-28,1480
2009-01-29,1489
2009-01-30,1495
2009-02-02,1507
2009-02-03,1507
2009-02-04,1535
2009-02-05,1547
2009-02-06,1541
2009-02-09,1537
2009-02-10,1578
2009-02-11,1637
2009-02-12,1645
2009-02-13,1618
2009-02-17,1694
2009-02-18,1698
2009-02-19,1724
2009-02-20,1749
2009-02-23,1798
2009-02-24,1791
2009-02-25,1707
2009-02-26,1708
2009-02-27,1727
2009-03-02,1772
2009-03-03,1802
2009-03-04,1762
2009-03-05,1827
2009-03-06,1890
2009-03-09,1908
2009-03-10,1874
2009-03-11,1809
2009-03-12,1810
2009-03-13,1828
2009-03-16,1815
2009-03-17,1848
2009-03-18,1885
2009-03-19,1838
2009-03-20,1884
2009-03-23,1909
2009-03-24,1908
2009-03-25,1960
2009-03-26,1903
2009-03-27,1927
2009-03-30,1932
2009-03-31,1894
2009-04-01,1893
2009-04-02,1864
2009-04-03,1833
2009-04-06,1808
2009-04-07,1832
2009-04-08,1786
2009-04-09,1734
2009-04-13,1728
2009-04-14,1752
2009-04-15,1755
2009-04-16,1761
2009-04-17,1756
2009-04-20,1838
2009-04-21,1790
2009-04-22,1781
2009-04-23,1794
2009-04-24,1750
2009-04-27,1747
2009-04-28,1777
2009-04-29,1769
2009-04-30,1766
2009-05-01,1764
2009-05-04,1699
2009-05-05,1551
2009-05-06,1445
2009-05-07,1379
2009-05-08,1409
2009-05-11,1433
2009-05-12,1510
2009-05-13,1565
2009-05-14,1514
2009-05-15,1550
2009-05-18,1474
2009-05-19,1429
2009-05-20,1378
2009-05-21,1405
2009-05-22,1380
2009-05-26,1355
2009-05-27,1315
2009-05-28,1296
2009-05-29,1291
2009-06-01,1214
2009-06-02,1158
2009-06-03,1166
2009-06-04,1157
2009-06-05,1144
2009-06-08,1144
2009-06-09,1109
2009-06-10,1100
2009-06-11,1054
2009-06-12,1042
2009-06-15,1050
2009-06-16,1100
